"package_name","long_name","short_name","requirement","expected_value","occurrence","syntax","preferred_unit","definition","pos","ctime"
"air","altitude","alt","M","measurement value","1","{float} m","meter","the altitude of the sample is the vertical distance between Earth's surface above sea level and the sampled position in the air",0,"2010-06-04 11:53:30.774147+02"
"air","elevation","elev","C","measurement value","1","{float} {unit}","meter","the elevation of the sampling site as measured by the vertical distance from mean sea level",0,"2010-06-04 11:54:28.264645+02"
"air","barometric pressure","barometric_press","X","measurement value","1","{float} {unit}","millibar","force per unit area exerted against a surface by the weight of air above that surface",1,"2009-10-25 21:05:58.465538+01"
"air","carbon dioxide","carb_dioxide","X","measurement value","1","{float} {unit}","micromole per liter","carbon dioxide (gas) amount or concentration at the time of sampling",1,"2009-10-25 21:05:58.465538+01"
"air","carbon monoxide","carb_monoxide","X","measurement value","1","{float} {unit}","micromole per liter","carbon monoxide (gas) amount or concentration at the time of sampling",1,"2009-10-25 21:05:58.465538+01"
"air","chemical administration","chem_administration","X","CHEBI;timestamp","m","{term}; {timestamp}","","list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds. For Chemical Entities of Biological Interest ontology (CHEBI) (v 111), http://purl.bioontology.org/ontology/CHEBI",1,"2009-10-25 21:05:58.465538+01"
"air","humidity","humidity","X","measurement value","1","{float} {unit}","gram per cubic meter","amount of water vapour in the air, at the time of sampling",1,"2009-10-25 21:05:58.465538+01"
"air","methane","methane","X","measurement value","1","{float} {unit}","micromole per liter","methane (gas) amount or concentration at the time of sampling",1,"2009-10-25 21:05:58.465538+01"
"air","miscellaneous parameter","misc_param","X","parameter name;measurement value","m","{text};{float} {unit}","","any other measurement performed or parameter collected, that is not listed here",1,"2009-11-07 14:11:49.883241+01"
"air","organism count","organism_count","X","organism name;measurement value","m","{text};{float} {unit}","number of organism per cubic meter","total count of any organism per gram or volume of sample,should include name of organism followed by count; can include multiple organism counts",1,"2009-11-03 18:07:24.248799+01"
"air","oxygen","oxygen","X","measurement value","1","{float} {unit}","milligram per liter, parts per million","oxygen (gas) amount or concentration at the time of sampling",1,"2009-10-25 21:05:58.465538+01"
"air","oxygenation status of sample","oxy_stat_samp","X","enumeration","1","[aerobic|anaerobic]","","oxygenation status of sample",1,"2009-10-25 21:05:58.465538+01"
"air","perturbation","perturbation","X","perturbation type name;time interval","m","{text};{interval}","","type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with time that perturbation occurred; can include multiple perturbation types",1,"2009-10-25 21:05:58.465538+01"
"air","pollutants","pollutants","X","pollutant name;measurement value","m","{text};{float} {unit}","gram, mole per liter, milligram per liter","pollutant types and, amount or concentrations measured at the time of sampling; can report multiple pollutants by entering numeric values preceded by name of pollutant",1,"2009-10-25 21:05:58.465538+01"
"air","respirable particulate matter","resp_part_matter","X","particulate matter name;measurement value","m","{text};{float} {unit}","microgram per cubic meter","concentration of substances that remain suspended in the air, and comprise mixtures of organic and inorganic substances (PM10 and PM2.5); can report multiple PM's by entering numeric values preceded by name of PM",1,"2009-10-25 21:05:58.465538+01"
"air","sample salinity","samp_salinity","X","measurement value","1","{float} {unit}","practical salinity unit, percentage","salinity of sample, i.e. measure of total salt concentration",1,"2009-10-25 21:05:58.465538+01"
"air","sample storage duration","samp_store_dur","X","time interval","1","{interval}","","duration for which sample was stored",1,"2009-10-25 21:05:58.465538+01"
"air","sample storage location","samp_store_loc","X","location name","1","{text}","","location at which sample was stored, usually name of a specific freezer/room",1,"2009-10-25 21:05:58.465538+01"
"air","sample storage temperature","samp_store_temp","X","measurement value","1","{float} {unit}","degree Celsius","temperature at which sample was stored, e.g. -80 degree Celsius",1,"2009-10-25 21:05:58.465538+01"
