"env_package","long_name","pos","definition","requirement","ctime"
"air","altitude",0,"","M","2010-06-04 14:20:00.737588+02"
"air","elevation",0,"","C","2010-06-04 14:20:00.737588+02"
"air","barometric pressure",1,"","X","2009-10-25 21:05:58.465538+01"
"air","carbon dioxide",1,"","X","2009-10-25 21:05:58.465538+01"
"air","carbon monoxide",1,"","X","2009-10-25 21:05:58.465538+01"
"air","chemical administration",1,"","X","2009-10-25 21:05:58.465538+01"
"air","humidity",1,"","X","2009-10-25 21:05:58.465538+01"
"air","methane",1,"","X","2009-10-25 21:05:58.465538+01"
"air","miscellaneous parameter",1,"","X","2009-11-07 14:19:47.206104+01"
"air","organism count",1,"","X","2009-11-03 18:13:24.956979+01"
"air","oxygen",1,"","X","2009-10-25 21:05:58.465538+01"
"air","oxygenation status of sample",1,"","X","2009-10-25 21:05:58.465538+01"
"air","perturbation",1,"","X","2009-10-25 21:05:58.465538+01"
"air","pollutants",1,"","X","2009-10-25 21:05:58.465538+01"
"air","respirable particulate matter",1,"","X","2009-10-25 21:05:58.465538+01"
"air","sample salinity",1,"","X","2009-10-25 21:05:58.465538+01"
"air","sample storage duration",1,"","X","2009-10-25 21:05:58.465538+01"
"air","sample storage location",1,"","X","2009-10-25 21:05:58.465538+01"
"air","sample storage temperature",1,"","X","2009-10-25 21:05:58.465538+01"
"air","sample volume or weight for DNA extraction",1,"","X","2012-01-24 15:26:04.063401+01"
"air","solar irradiance",1,"","X","2009-10-25 21:05:58.465538+01"
"air","temperature",1,"","X","2009-10-25 21:05:58.465538+01"
"air","ventilation rate",1,"","X","2009-10-25 21:05:58.465538+01"
"air","ventilation type",1,"","X","2009-10-25 21:05:58.465538+01"
"air","volatile organic compounds",1,"","X","2009-10-25 21:05:58.465538+01"
"air","wind direction",1,"","X","2009-10-25 21:05:58.465538+01"
"air","wind speed",1,"","X","2009-10-25 21:05:58.465538+01"
"built environment","surface material",1,"","E","2013-02-26 15:35:08.956728+01"
"built environment","surface-air contaminant",2,"","E","2013-02-26 15:35:08.956728+01"
"built environment","relative air humidity",3,"","M","2013-02-26 15:35:08.956728+01"
"built environment","absolute air humidity",4,"","M","2013-02-26 15:35:08.956728+01"
"built environment","surface humidity",5,"","E","2013-02-26 15:35:08.956728+01"
"built environment","air temperature",6,"","M","2013-02-26 15:35:08.956728+01"
"built environment","surface temperature",7,"","E","2013-02-26 15:35:08.956728+01"
"built environment","surface moisture pH ",8,"","E","2013-02-26 15:35:08.956728+01"
"built environment","building occupancy type ",9,"","M","2013-02-26 15:35:08.956728+01"
"built environment","surface moisture",10,"","E","2013-02-26 15:35:08.956728+01"
"built environment","dew point ",11,"","X","2013-02-26 15:35:08.956728+01"
"built environment","carbon dioxide",12,"","M","2013-02-26 15:35:08.956728+01"
"built environment","ventilation type",13,"","M","2013-02-26 15:35:08.956728+01"
"built environment","organism count",14,"","M","2013-02-26 15:35:08.956728+01"
"built environment","indoor space ",15,"","M","2013-02-26 15:35:08.956728+01"
"built environment","indoor surface",16,"","E","2013-02-26 15:35:08.956728+01"
"built environment","filter type",17,"","M","2013-02-26 15:35:08.956728+01"
"built environment","heating and cooling system type",18,"","M","2013-02-26 15:35:08.956728+01"
"built environment","substructure type ",19,"","X","2013-02-26 15:35:08.956728+01"
"built environment","building setting",20,"","M","2013-02-26 15:35:08.956728+01"
"built environment","light type",21,"","M","2013-02-26 15:35:08.956728+01"
"built environment","sample size sorting method",22,"","X","2013-02-26 15:35:08.956728+01"
"built environment","space typical state ",23,"","M","2013-02-26 15:35:08.956728+01"
"built environment","typical occupant density",24,"","M","2013-02-26 15:35:08.956728+01"
"built environment","occupancy at sampling",25,"","M","2013-02-26 15:35:08.956728+01"
"built environment","occupant density at sampling",26,"","M","2013-02-26 15:35:08.956728+01"
"host-associated","altitude",0,"","C","2010-06-04 14:20:00.737588+02"
"host-associated","depth",0,"","C","2010-06-04 14:20:00.737588+02"
"host-associated","elevation",0,"","C","2010-06-04 14:20:00.737588+02"
"host-associated","host common name",1,"","X","2009-10-25 21:05:58.465538+01"
"host-associated","host taxid",2,"","X","2009-10-25 21:05:58.465538+01"
"host-associated","host subject id",3,"","X","2009-10-25 21:05:58.465538+01"
"host-associated","host age",4,"","X","2009-10-25 21:05:58.465538+01"
"host-associated","host life stage",5,"","X","2009-10-25 21:05:58.465538+01"
"host-associated","host sex",6,"","X","2009-10-25 21:05:58.465538+01"
"host-associated","host disease status",7,"","X","2009-10-25 21:05:58.465538+01"
"host-associated","chemical administration",8,"","X","2009-10-25 21:05:58.465538+01"
"host-associated","host body habitat",9,"original body habitat where the sample was obtained from","X","2009-10-26 23:51:00.040593+01"
"host-associated","host body site",10,"name of body site where the sample was obtained from","X","2009-10-25 21:05:58.465538+01"
"host-associated","host body product",11,"substance produced by the body, e.g. stool, mucus, where the sample was obtained from","X","2009-10-25 21:05:58.465538+01"
"host-associated","host total mass",12,"","X","2009-10-25 21:05:58.465538+01"
"host-associated","host height",13,"","X","2009-10-25 21:05:58.465538+01"
"host-associated","host length",13,"","X","2009-10-25 21:05:58.465538+01"
"host-associated","host diet",14,"","X","2009-10-25 21:05:58.465538+01"
"host-associated","host last meal",15,"","X","2009-10-25 21:05:58.465538+01"
"host-associated","host growth conditions",16,"","X","2009-10-25 21:05:58.465538+01"
"host-associated","host substrate",17,"","X","2009-10-25 21:05:58.465538+01"
"host-associated","host family relationship",18,"","X","2009-10-25 21:05:58.465538+01"
"host-associated","host infra-specific name",19,"","X","2009-10-25 21:05:58.465538+01"
"host-associated","host infra-specific rank",20,"","X","2009-10-25 21:05:58.465538+01"
"host-associated","host genotype",21,"","X","2009-10-25 21:05:58.465538+01"
"host-associated","host phenotype",22,"","X","2009-10-25 21:05:58.465538+01"
"host-associated","host body temperature",23,"","X","2009-10-25 21:05:58.465538+01"
"host-associated","host dry mass",24,"","X","2009-10-25 21:05:58.465538+01"
"host-associated","host blood pressure diastolic",25,"","X","2009-10-25 21:05:58.465538+01"
"host-associated","host blood pressure systolic",26,"","X","2009-11-20 10:35:51.070012+01"
"host-associated","host color",27,"","X","2009-10-25 21:05:58.465538+01"
"host-associated","host shape",28,"","X","2009-10-25 21:05:58.465538+01"
"host-associated","gravidity",29,"","X","2009-10-26 23:51:00.040593+01"
"host-associated","perturbation",30,"","X","2009-10-25 21:05:58.465538+01"
"host-associated","sample salinity",31,"","X","2009-10-25 21:05:58.465538+01"
"host-associated","oxygenation status of sample",32,"","X","2009-10-25 21:05:58.465538+01"
"host-associated","temperature",33,"","X","2009-10-25 21:05:58.465538+01"
"host-associated","organism count",34,"","X","2009-10-25 21:05:58.465538+01"
"host-associated","sample volume or weight for DNA extraction",35,"","X","2012-01-24 15:31:12.650885+01"
"host-associated","sample storage temperature",36,"","X","2009-10-25 21:05:58.465538+01"
"host-associated","sample storage duration",37,"","X","2009-10-25 21:05:58.465538+01"
"host-associated","sample storage location",38,"","X","2009-10-25 21:05:58.465538+01"
"host-associated","miscellaneous parameter",39,"","X","2009-11-07 14:19:47.206104+01"
"human-associated","host subject id",1,"","X","2009-10-25 21:05:58.465538+01"
"human-associated","host age",2,"","X","2009-10-25 21:05:58.465538+01"
"human-associated","host sex",3,"","X","2009-10-25 21:05:58.465538+01"
"human-associated","host disease status",4,"","X","2009-10-25 21:05:58.465538+01"
"human-associated","IHMC medication code",5,"","X","2009-10-25 21:05:58.465538+01"
"human-associated","chemical administration",6,"","X","2009-10-25 21:05:58.465538+01"
"human-associated","host body site",7,"","X","2009-10-25 21:05:58.465538+01"
"human-associated","host body product",8,"","X","2009-10-25 21:05:58.465538+01"
"human-associated","host total mass",9,"","X","2009-10-25 21:05:58.465538+01"
"human-associated","host height",10,"","X","2009-10-25 21:05:58.465538+01"
"human-associated","host diet",11,"","X","2009-10-25 21:05:58.465538+01"
"human-associated","host last meal",12,"","X","2009-10-25 21:05:58.465538+01"
"human-associated","host family relationship",13,"","X","2009-10-25 21:05:58.465538+01"
"human-associated","host genotype",14,"","X","2009-10-25 21:05:58.465538+01"
"human-associated","host phenotype",15,"","X","2009-10-25 21:05:58.465538+01"
"human-associated","host body temperature",16,"","X","2009-10-25 21:05:58.465538+01"
"human-associated","smoker",17,"","X","2009-10-26 23:51:00.040593+01"
"human-associated","host HIV status",18,"","X","2009-10-26 23:51:00.040593+01"
"human-associated","drug usage",19,"","X","2009-10-26 23:51:00.040593+01"
"human-associated","host body-mass index",20,"","X","2009-10-25 21:05:58.465538+01"
"human-associated","major diet change in last six months",21,"","X","2009-10-26 23:51:00.040593+01"
"human-associated","weight loss in last three months",22,"","X","2009-10-26 23:51:00.040593+01"
"human-associated","IHMC ethnicity",23,"","X","2009-10-25 21:05:58.465538+01"
"human-associated","host occupation",24,"","X","2009-10-25 21:05:58.465538+01"
"human-associated","presence of pets or farm animals",25,"","X","2009-10-26 23:51:00.040593+01"
"human-associated","travel outside the country in last six months",26,"","X","2009-10-26 23:51:00.040593+01"
"human-associated","twin sibling presence",27,"","X","2009-10-26 23:51:00.040593+01"
"human-associated","medical history performed",28,"","X","2009-10-25 21:05:58.465538+01"
"human-associated","study completion status",29,"","X","2009-10-26 23:51:00.040593+01"
"human-associated","lung/pulmonary disorder",30,"","X","2009-10-26 23:51:00.040593+01"
"human-associated","lung/nose-throat disorder",31,"","X","2009-10-26 23:51:00.040593+01"
"human-associated","blood/blood disorder",32,"","X","2009-10-26 23:51:00.040593+01"
"human-associated","host pulse",35,"","X","2009-10-25 21:05:58.465538+01"
"human-associated","amniotic fluid/gestation state",36,"","X","2009-10-26 23:51:00.040593+01"
"human-associated","amniotic fluid/maternal health status",37,"","X","2009-10-26 23:51:00.040593+01"
"human-associated","amniotic fluid/foetal health status",38,"","X","2009-10-26 23:51:00.040593+01"
"human-associated","amniotic fluid/color",39,"","X","2009-10-26 23:51:00.040593+01"
"human-associated","urine/kidney disorder",40,"","X","2009-10-26 23:51:00.040593+01"
"human-associated","urine/urogenital tract disorder",41,"","X","2009-10-26 23:51:00.040593+01"
"human-associated","urine/collection method",43,"","X","2009-10-26 23:51:00.040593+01"
"human-associated","perturbation",44,"","X","2009-10-25 21:05:58.465538+01"
"human-associated","sample salinity",45,"","X","2009-10-25 21:05:58.465538+01"
"human-associated","oxygenation status of sample",46,"","X","2009-10-25 21:05:58.465538+01"
"human-associated","temperature",47,"","X","2009-10-25 21:05:58.465538+01"
"human-associated","organism count",48,"","X","2009-11-04 21:26:29.243152+01"
"human-associated","sample volume or weight for DNA extraction",49,"","X","2012-01-24 15:31:12.650885+01"
"human-associated","sample storage temperature",50,"","X","2009-10-25 21:05:58.465538+01"
"human-associated","sample storage duration",51,"","X","2009-10-25 21:05:58.465538+01"
"human-associated","sample storage location",52,"","X","2009-10-25 21:05:58.465538+01"
"human-associated","miscellaneous parameter",53,"","X","2009-11-07 14:19:47.206104+01"
"human-gut","gastrointestinal tract disorder",1,"","X","2009-10-26 23:51:00.040593+01"
"human-gut","liver disorder",2,"","X","2009-10-26 23:51:00.040593+01"
"human-gut","special diet",3,"","X","2009-10-26 23:51:00.040593+01"
"human-gut","host subject id",4,"","X","2009-10-27 11:50:19.314545+01"
"human-gut","host age",5,"","X","2009-10-27 11:50:19.314545+01"
"human-gut","host sex",6,"","X","2009-10-27 11:50:19.314545+01"
"human-gut","host disease status",7,"","X","2009-10-27 11:50:19.314545+01"
"human-gut","IHMC medication code",8,"","X","2009-10-27 11:50:19.314545+01"
"human-gut","chemical administration",9,"","X","2009-10-27 11:50:19.314545+01"
"human-gut","host body site",10,"","X","2009-10-27 11:50:19.314545+01"
"human-gut","host body product",11,"","X","2009-10-27 11:50:19.314545+01"
"human-gut","host total mass",12,"","X","2009-10-27 11:50:19.314545+01"
"human-gut","host height",13,"","X","2009-10-27 11:50:19.314545+01"
"human-gut","host diet",14,"","X","2009-10-27 11:50:19.314545+01"
"human-gut","host last meal",15,"","X","2009-10-27 11:50:19.314545+01"
"human-gut","host family relationship",16,"","X","2009-10-27 11:50:19.314545+01"
"human-gut","host genotype",17,"","X","2009-10-27 11:50:19.314545+01"
"human-gut","host phenotype",18,"","X","2009-10-27 11:50:19.314545+01"
"human-gut","host body temperature",19,"","X","2009-10-27 11:50:19.314545+01"
"human-gut","host body-mass index",20,"","X","2009-10-27 11:50:19.314545+01"
"human-gut","IHMC ethnicity",21,"","X","2009-10-27 11:50:19.314545+01"
"human-gut","host occupation",22,"","X","2009-10-27 11:50:19.314545+01"
"human-gut","medical history performed",23,"","X","2009-10-27 11:50:19.314545+01"
"human-gut","host pulse",26,"","X","2009-10-27 11:50:19.314545+01"
"human-gut","perturbation",27,"","X","2009-10-27 11:50:19.314545+01"
"human-gut","sample salinity",28,"","X","2009-10-27 11:50:19.314545+01"
"human-gut","oxygenation status of sample",29,"","X","2009-10-27 11:50:19.314545+01"
"human-gut","temperature",30,"","X","2009-10-27 11:50:19.314545+01"
"human-gut","organism count",31,"","X","2009-11-04 21:26:46.949454+01"
"human-gut","sample storage temperature",32,"","X","2009-10-27 11:50:19.314545+01"
"human-gut","sample volume or weight for DNA extraction",32,"","X","2012-01-24 15:31:12.650885+01"
"human-gut","sample storage duration",33,"","X","2009-10-27 11:50:19.314545+01"
"human-gut","sample storage location",34,"","X","2009-10-27 11:50:19.314545+01"
"human-gut","miscellaneous parameter",35,"","X","2009-11-07 14:19:47.206104+01"
"human-oral","nose/mouth/teeth/throat disorder",1,"","X","2009-10-26 23:51:00.040593+01"
"human-oral","time since last toothbrushing",2,"","X","2009-10-26 23:51:00.040593+01"
"human-oral","host subject id",3,"","X","2009-10-27 11:49:58.783443+01"
"human-oral","host age",4,"","X","2009-10-27 11:49:58.783443+01"
"human-oral","host sex",5,"","X","2009-10-27 11:49:58.783443+01"
"human-oral","host disease status",6,"","X","2009-10-27 11:49:58.783443+01"
"human-oral","IHMC medication code",7,"","X","2009-10-27 11:49:58.783443+01"
"human-oral","chemical administration",8,"","X","2009-10-27 11:49:58.783443+01"
"human-oral","host body site",9,"","X","2009-10-27 11:49:58.783443+01"
"human-oral","host body product",10,"","X","2009-10-27 11:49:58.783443+01"
"human-oral","host total mass",11,"","X","2009-10-27 11:49:58.783443+01"
"human-oral","host height",12,"","X","2009-10-27 11:49:58.783443+01"
"human-oral","host diet",13,"","X","2009-10-27 11:49:58.783443+01"
"human-oral","host last meal",14,"","X","2009-10-27 11:49:58.783443+01"
"human-oral","host family relationship",15,"","X","2009-10-27 11:49:58.783443+01"
"human-oral","host genotype",16,"","X","2009-10-27 11:49:58.783443+01"
"human-oral","host phenotype",17,"","X","2009-10-27 11:49:58.783443+01"
"human-oral","host body temperature",18,"","X","2009-10-27 11:49:58.783443+01"
"human-oral","host body-mass index",19,"","X","2009-10-27 11:49:58.783443+01"
"human-oral","IHMC ethnicity",20,"","X","2009-10-27 11:49:58.783443+01"
"human-oral","host occupation",21,"","X","2009-10-27 11:49:58.783443+01"
"human-oral","medical history performed",22,"","X","2009-10-27 11:49:58.783443+01"
"human-oral","host pulse",25,"","X","2009-10-27 11:49:58.783443+01"
"human-oral","perturbation",26,"","X","2009-10-27 11:49:58.783443+01"
"human-oral","sample salinity",27,"","X","2009-10-27 11:49:58.783443+01"
"human-oral","oxygenation status of sample",28,"","X","2009-10-27 11:49:58.783443+01"
"human-oral","temperature",29,"","X","2009-10-27 11:49:58.783443+01"
"human-oral","organism count",30,"","X","2009-11-04 21:26:42.463231+01"
"human-oral","sample volume or weight for DNA extraction",31,"","X","2012-01-24 15:31:12.650885+01"
"human-oral","sample storage temperature",32,"","X","2009-10-27 11:49:58.783443+01"
"human-oral","sample storage duration",33,"","X","2009-10-27 11:49:58.783443+01"
"human-oral","sample storage location",34,"","X","2009-10-27 11:49:58.783443+01"
"human-oral","miscellaneous parameter",35,"","X","2009-11-07 14:19:47.206104+01"
"human-skin","dermatology disorder",1,"","X","2009-10-26 23:51:00.040593+01"
"human-skin","time since last wash",2,"","X","2009-10-26 23:51:00.040593+01"
"human-skin","dominant hand",3,"","X","2009-10-26 23:51:00.040593+01"
"human-skin","host subject id",4,"","X","2009-10-27 11:49:00.428328+01"
"human-skin","host age",5,"","X","2009-10-27 11:49:00.428328+01"
"human-skin","host sex",6,"","X","2009-10-27 11:49:00.428328+01"
"human-skin","host disease status",7,"","X","2009-10-27 11:49:00.428328+01"
"human-skin","IHMC medication code",8,"","X","2009-10-27 11:49:00.428328+01"
"human-skin","chemical administration",9,"","X","2009-10-27 11:49:00.428328+01"
"human-skin","host body site",10,"","X","2009-10-27 11:49:00.428328+01"
"human-skin","host body product",11,"","X","2009-10-27 11:49:00.428328+01"
"human-skin","host total mass",12,"","X","2009-10-27 11:49:00.428328+01"
"human-skin","host height",13,"","X","2009-10-27 11:49:00.428328+01"
"human-skin","host diet",14,"","X","2009-10-27 11:49:00.428328+01"
"human-skin","host last meal",15,"","X","2009-10-27 11:49:00.428328+01"
"human-skin","host family relationship",16,"","X","2009-10-27 11:49:00.428328+01"
"human-skin","host genotype",17,"","X","2009-10-27 11:49:00.428328+01"
"human-skin","host phenotype",18,"","X","2009-10-27 11:49:00.428328+01"
"human-skin","host body temperature",19,"","X","2009-10-27 11:49:00.428328+01"
"human-skin","host body-mass index",20,"","X","2009-10-27 11:49:00.428328+01"
"human-skin","IHMC ethnicity",21,"","X","2009-10-27 11:49:00.428328+01"
